name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kyiv,2023-11-08,9.7,6.1,7.7,9.7,5.3,6.9,6.1,89.9,8.5,100,8.33,rain,0,0,28.1,11.2,334.4,1012.6,82.1,10.6,,,,,2023-11-08T06:59:49,2023-11-08T16:22:47,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,33345099999"
Kyiv,2023-11-09,9.4,4.7,7,7.9,4,5.6,4.9,86.8,0.4,100,4.17,rain,0,0,36.7,13.3,295.6,1015.7,68.2,14,,,,,2023-11-09T07:01:30,2023-11-09T16:21:15,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,33345099999"
Kyiv,2023-11-10,11.4,1.6,6.5,11.4,1.6,5.5,3.3,81.1,0,0,0,,0,0,37.4,18,168.5,1018.8,50.2,14.4,,,,,2023-11-10T07:03:11,2023-11-10T16:19:46,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,33345099999"
Kyiv,2023-11-11,8.7,6.6,7.5,8.7,4,5.6,5.5,87.7,12,100,4.17,rain,0,0,37.1,14.4,128.5,1006.8,98.6,10.4,,,,,2023-11-11T07:04:52,2023-11-11T16:18:18,0.94,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"remote,33345099999"
Kyiv,2023-11-12,8.6,6.7,7.7,8.5,3.4,5.8,6.2,90.3,19,100,8.33,rain,0,0,45,18.4,276.5,995.8,99.3,12.7,,,,,2023-11-12T07:06:33,2023-11-12T16:16:52,0.97,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"remote,33345099999"
Kyiv,2023-11-13,8.3,4.7,6.3,6.2,1.7,3.6,2.4,76.6,0.3,100,4.17,rain,0,0,46.1,17.3,253.4,1010.6,78.8,20,,,,,2023-11-13T07:08:13,2023-11-13T16:15:28,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,33345099999"
Kyiv,2023-11-14,7.7,0.9,4.8,5.5,0.9,2.9,2.2,83.4,2,100,4.17,rain,0,0,39.2,16.2,211.3,1006.7,78.4,15.7,,,,,2023-11-14T07:09:53,2023-11-14T16:14:06,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"remote,33345099999"
Kyiv,2023-11-15,10.9,6.2,8.2,10.9,3.8,6.6,5.8,85.3,1,100,4.17,rain,0,0,31,14.4,246.9,1002.8,79.9,20,,,,,2023-11-15T07:11:33,2023-11-15T16:12:47,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,33345099999"
Kyiv,2023-11-16,7.7,1.7,5.2,6.5,-2.3,2.3,3.1,86.5,1.5,100,33.33,rain,0,0,40.7,18,289,1009,96.5,12.3,,,,,2023-11-16T07:13:12,2023-11-16T16:11:30,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"remote,33345099999"
Kyiv,2023-11-17,3.1,0.3,1.9,3.1,-2,0.5,0,87.2,0,0,0,,0,0,33.1,13,336.7,1017,96.3,12.5,,,,,2023-11-17T07:14:50,2023-11-17T16:10:15,0.14,Overcast,Cloudy skies throughout the day.,cloudy,"remote,33345099999"
Kyiv,2023-11-18,2.8,-1.3,1.3,1.6,-5.1,-1.6,-1.5,82.5,0,0,0,,0,0,31,14.4,58.5,1020.2,97,16.3,,,,,2023-11-18T07:16:27,2023-11-18T16:09:02,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"remote,33345099999"
Kyiv,2023-11-19,-1.1,-3,-2.1,-2.1,-6.7,-5.4,-6.2,73.6,0,0,0,,0,0,28.1,11.5,26.1,1019.1,92.6,20,,,,,2023-11-19T07:18:04,2023-11-19T16:07:52,0.22,Overcast,Cloudy skies throughout the day.,cloudy,"remote,33345099999"
Kyiv,2023-11-20,0.7,-3.3,-1.8,-0.8,-6.9,-4.5,-5,78.9,0,0,0,,0,0,27.7,10.4,355.9,1011.8,72.5,20,,,,,2023-11-20T07:19:40,2023-11-20T16:06:45,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,33345099999"
Kyiv,2023-11-21,0.1,-3.9,-1.7,0.1,-3.9,-2.1,-4.2,83,0,0,0,"rain,snow",0.2,0,16.2,6.5,89.3,1015.1,74.7,17.5,,,,,2023-11-21T07:21:16,2023-11-21T16:05:39,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,33345099999"
Kyiv,2023-11-22,-1.2,-5.3,-2.7,-3.1,-9.9,-6,-5.1,83.9,3.9,100,8.33,"rain,snow",1.9,3.1,28.8,11.2,9.5,1020.9,95.3,12,,,,,2023-11-22T07:22:50,2023-11-22T16:04:37,0.32,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"remote,33345099999"
Kyiv,2023-11-23,2.2,-6.6,-3.7,-2.7,-10.4,-8.1,-7,77.6,2,100,4.17,"rain,snow",0.5,4.3,50.4,21.6,240.9,1012.7,97.8,13.1,,,,,2023-11-23T07:24:23,2023-11-23T16:03:37,0.36,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"remote,33345099999"
Kyiv,2023-11-24,5.4,1.1,3.4,1.5,-3.6,-0.8,0.6,82.5,4.5,100,8.33,"rain,snow",0,2,55.8,28.8,253.8,990.3,78.1,16.7,,,,,2023-11-24T07:25:56,2023-11-24T16:02:39,0.39,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"remote,33345099999"
Kyiv,2023-11-25,3.9,-1.1,0.7,2,-2.7,-0.9,-2.2,81.4,0,0,0,,0,0.8,32.4,11.9,237.7,998.1,67.6,17.5,,,,,2023-11-25T07:27:27,2023-11-25T16:01:45,0.43,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,33345099999"
Kyiv,2023-11-26,0.1,-1.9,-0.7,-0.6,-8.1,-4.3,-2.6,87.3,0.6,100,12.5,"rain,snow",1.2,0.6,63.4,25.2,344.5,995.4,98.9,10.5,,,,,2023-11-26T07:28:57,2023-11-26T16:00:53,0.47,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"remote,33345099999"
Kyiv,2023-11-27,-2.1,-4.9,-3.3,-8.3,-10.6,-9.7,-6.8,76.5,0.7,100,4.17,snow,3.1,3.7,65.5,26.6,290.2,995.1,87.8,11,,,,,2023-11-27T07:30:25,2023-11-27T16:00:04,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"remote,33345099999"
Kyiv,2023-11-28,-0.3,-6.3,-2.6,-0.3,-11.1,-6.4,-6.3,75.8,0.3,100,4.17,snow,0.1,3.4,32.4,14.4,183.7,1004.5,71.9,16.3,,,,,2023-11-28T07:31:52,2023-11-28T15:59:17,0.53,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"remote,33345099999"
Kyiv,2023-11-29,2.4,-3.2,-0.3,1.5,-9,-4.4,-2.1,88.1,17.7,100,8.33,"rain,snow",2.8,3.8,47.2,18.4,232.9,996.4,98.6,10.7,,,,,2023-11-29T07:33:18,2023-11-29T15:58:34,0.57,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"remote,33345099999"
Kyiv,2023-11-30,0.7,-5.8,-2.7,-3.5,-10.5,-7,-7.2,71.2,0.1,100,4.17,snow,0,3.2,46.4,18.4,231.7,1011.8,69.2,20,,,,,2023-11-30T07:34:42,2023-11-30T15:57:54,0.6,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,rain,"remote,33345099999"
Kyiv,2023-12-01,0.5,-2,-0.6,-0.1,-5.3,-2.2,-2,90.3,5.4,100,8.33,"rain,snow",2.4,5,23,9.4,234.5,1006,99.8,5.7,,,,,2023-12-01T07:36:05,2023-12-01T15:57:16,0.63,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"remote,33345099999"
Kyiv,2023-12-02,-0.8,-1.5,-1.1,-0.8,-4.7,-2.9,-2.1,93.3,4,100,4.17,"rain,snow",1.2,6.1,29.9,10.8,96.1,1008,99.6,1.9,,,,,2023-12-02T07:37:25,2023-12-02T15:56:42,0.66,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"remote,33345099999"
Kyiv,2023-12-03,1.7,-2.6,-0.7,-0.1,-7.6,-4.5,-2.9,85.3,0.5,100,4.17,snow,0,5.7,56.9,21.2,273.4,1007.5,99.6,11.9,,,,,2023-12-03T07:38:44,2023-12-03T15:56:10,0.69,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,rain,"remote,33345099999"
Kyiv,2023-12-04,-0.6,-4.3,-2.6,-2.3,-8.5,-6.1,-5.4,81.5,0.3,100,8.33,snow,0.2,5.6,34.6,14.4,264.4,1022.3,88,17.5,,,,,2023-12-04T07:40:02,2023-12-04T15:55:42,0.73,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"remote,33345099999"
Kyiv,2023-12-05,-2.1,-7.3,-3.6,-3.1,-8.7,-5.9,-6.2,82.2,0,0,0,snow,0.1,5.8,23.4,9.4,171.5,1025.5,87,20,,,,,2023-12-05T07:41:17,2023-12-05T15:55:16,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,33345099999"
Kyiv,2023-12-06,-1.4,-5.6,-2.9,-2.8,-8.7,-5.8,-4.9,86.1,0.2,100,4.17,snow,0.4,5.9,25.6,10.8,109.4,1024.6,72.4,12.9,,,,,2023-12-06T07:42:30,2023-12-06T15:54:54,0.79,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"remote,33345099999"
Kyiv,2023-12-07,-3.8,-8.8,-5.6,-6.8,-12.8,-8.8,-7.2,88.6,0.4,100,4.17,snow,0.5,5.9,22.3,8.6,50.4,1026,94.4,7.1,,,,,2023-12-07T07:43:41,2023-12-07T15:54:35,0.82,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"remote,33345099999"
Kyiv,2023-12-08,-2.1,-3.5,-2.8,-2.4,-6.6,-5,-3.8,92.7,6,100,8.33,snow,2.9,9.3,22,8.3,72.7,1023.3,98,6.3,,,,,2023-12-08T07:44:50,2023-12-08T15:54:20,0.85,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"remote,33345099999"
